id,fighter
915,Liliya Shakirova
916,Stefan Struve
917,Alexander Yakovlev
918,James Krause
919,John Phillips
920,Gadzhimurad Antigulov
921,Ali AlQaisi
922,Germaine de Randamie
923,Dequan Townsend
924,Heili Alateng
925,Jessin Ayari
926,Diego Sanchez
927,Jeff Hughes
928,Khadis Ibragimov
929,Mirsad Bektic
930,Mara Romero Borella
931,Irwin Rivera
932,Brok Weaver
933,Anthony Ivy
934,Zelim Imadaev
935,Cole Smith
936,Ricardo Lamas
937,Austin Springer
938,Hannah Cifers
939,Mizuki Inoue
940,Daniel Cormier
941,John Dodson
942,Frankie Saenz
943,Rogerio Nogueira
944,Fabricio Werdum
945,Peter Sobotta
946,Raphael Pessoa
947,Nad Narimani
948,Joe Duffy
949,Brett Johns
950,Davi Ramos
951,Chris Fishgold
952,Paige VanZant
953,Danny Henry
954,Roman Bogatov
955,Lyman Good
956,Brianna Van Buren
957,Oskar Piechota
958,Max Rohskopf
959,Mark De La Rosa
960,Anthony Rocco Martin
961,Charles Byrd
962,Jussier Formiga
963,Evan Dunham
964,Klidson Abreu
965,Ray Borg
966,Aleksei Kunchenko
967,Enrique Barzola
968,Veronica Macedo
969,Yoel Romero
970,Weili Zhang
971,Jingliang Li
972,Saparbeg Safarov
973,Gabriel Silva
974,Ismail Naurdiev
975,Xiaonan Yan
976,Ben Sosoli
977,Magomed Mustafaev
978,Emil Meek
979,Callan Potter
980,Kenan Song
981,Corey Anderson
982,Juan Adams
983,Darko Stosic
984,Liu Pingyuan
985,Suman Mokhtarian
986,Dong Hyun Ma
987,Urijah Faber
988,Ben Saunders
989,Daniel Teymur
990,Thiago Alves
991,Trevor Smith
992,Sergio Moraes
993,Renan Barao
994,Isabela de Padua
995,Zabit Magomedsharipov
996,Rustam Khabilov
997,Grigorii Popov
998,Chance Rencountre
999,Alex White
1000,Alexandra Albu
1001,Ben Askren
1002,Stevie Ray
1003,Joe Lauzon
1004,Manny Bermudez
1005,Kyle Bochniak
1006,Boston Salmon
1007,Daniel Spitz
1008,James Vick
1009,Thomas Gifford
1010,Hector Aldana
1011,Lauren Mueller
1012,Luke Jumeau
1013,Rostem Akman
1014,Nadia Kassem
1015,Danilo Belluardo
1016,Siyar Bahadurzada
1017,Nohelin Hernandez
1018,Martin Bravo
1019,Carlos Huachin
1020,Polo Reyes
1021,Sergio Pettis
1022,Marcos Mariano
1023,Todd Duffee
1024,Ryan MacDonald
1025,Kyle Prepolec
1026,Mairbek Taisumov
1027,Teemu Packalen
1028,Nordine Taleb
1029,Don Madge
1030,Derrick Krantz
1031,Yanan Wu
1032,Jun Yong Park
1033,Andre Soukhamthath
1034,Da Un Jung
1035,Jodie Esquibel
1036,Liz Carmouche
1037,Humberto Bandenay
1038,Bobby Moffett
1039,Salim Touahri
1040,Cris Cyborg
1041,Olivier Aubin-Mercier
1042,Yoshinori Horie
1043,Sarah Frota
1044,Erik Koch
1045,Kyle Stewart
1046,Jinsoo Son
1047,Cezar Ferreira
1048,Sheymon Moraes
1049,Nicco Montano
1050,Gilbert Melendez
1051,Dan Moret
1052,Junior Albini
1053,Syuri Kondo
1054,Allen Crowder
1055,Eric Spicely
1056,Nina Ansaroff
1057,Jimi Manuwa
1058,Sung Bin Jo
1059,Tonya Evinger
1060,Nick Hein
1061,Duda Santana
1062,Desmond Green
1063,Patrick Cummins
1064,BJ Penn
1065,Talita Bernardo
1066,Elias Theodorou
1067,Arjan Bhullar
1068,Mitch Gagnon
1069,Dmitrii Smoliakov
1070,John Lineker
1071,Jason Gonzalez
1072,Marcelo Golm
1073,Sultan Aliev
1074,Keita Nakamura
1075,Wilson Reis
1076,Curtis Millender
1077,David Branch
1078,Jessica Aguilar
1079,Ross Pearson
1080,Justin Willis
1081,Jesus Pinedo
1082,Eric Shelton
1083,Jordan Rinaldi
1084,Tim Boetsch
1085,Zak Ottow
1086,Carlo Pedersoli
1087,Cain Velasquez
1088,Myles Jury
1089,Austin Arnett
1090,Teruto Ishihara
1091,Wuliji Buren
1092,David Teymur
1093,Magomed Bibulatov
1094,Dustin Ortiz
1095,Dennis Bermudez
1096,Te Edwards
1097,Chad Mendes
1098,Cat Zingano
1099,Adam Milstead
1100,Chris de la Rocha
1101,Matthew Lopez
1102,Chad Laprise
1103,Mark Hunt
1104,Yushin Okami
1105,Ben Nguyen
1106,Elias Garcia
1107,Mizuto Hirota
1108,Alex Gorgees
1109,Justin Frazier
1110,Bryan Caraway
1111,Rick Glenn
1112,Michel Batista
1113,Darrell Horcher
1114,Ricky Rainey
1115,Rashad Coulter
1116,Ulka Sasaki
1117,Devin Powell
1118,Amanda Cooper
1119,John Gunther
1120,Joseph Morales
1121,Joby Sanchez
1122,Jason Knight
1123,Adam Wieczorek
1124,Artem Lobov
1125,Alex Garcia
1126,Thibault Gouti
1127,Gray Maynard
1128,Ryan LaFlare
1129,Luis Henrique
1130,Thales Leites
1131,Hector Lombard
1132,Alex Chambers
1133,Khalid Murtazaliev
1134,CB Dollaway
1135,Kajan Johnson
1136,Adam Yandiev
1137,Jordan Johnson
1138,Terrion Ware
1139,Craig White
1140,Roberto Sanchez
1141,Jarred Brooks
1142,Jake Ellenberger
1143,John Moraga
